,id,Date,Gender,venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
316,1197057,03-09-2019,female,Forthill,Scotland,Bangladesh,Scotland,field,Bangladesh,['Nigar Sultana']
317,1197058,03-09-2019,female,Lochlands,Papua New Guinea,United States of America,United States of America,field,Papua New Guinea,['S Jimmy']
318,1197059,05-09-2019,female,Forthill,Bangladesh,Ireland,Ireland,bat,Bangladesh,['Sanjida Islam']
319,1197061,05-09-2019,female,Forthill,Papua New Guinea,Thailand,Papua New Guinea,bat,Thailand,['S Laomi']
320,1197062,05-09-2019,female,Lochlands,Scotland,Namibia,Scotland,field,Scotland,['SJ Bryce']
321,1197063,07-09-2019,female,Forthill,Ireland,Papua New Guinea,Ireland,field,Ireland,['KJ Garth']
322,1197064,07-09-2019,female,Lochlands,Namibia,United States of America,United States of America,field,United States of America,['S Ramautar']
323,1197065,07-09-2019,female,Forthill,Bangladesh,Thailand,Bangladesh,bat,Bangladesh,['Sanjida Islam']
324,1197066,07-09-2019,female,Lochlands,Scotland,Netherlands,Netherlands,field,Scotland,['SJ Bryce']
325,1197140,13-09-2019,male,"Shere Bangla National Stadium, Mirpur",Bangladesh,Zimbabwe,Bangladesh,field,Bangladesh,['Afif Hossain']
326,1197141,14-09-2019,male,"Shere Bangla National Stadium, Mirpur",Afghanistan,Zimbabwe,Zimbabwe,field,Afghanistan,['Najibullah Zadran']
327,1197142,15-09-2019,male,"Shere Bangla National Stadium, Mirpur",Bangladesh,Afghanistan,Afghanistan,bat,Afghanistan,['Mohammad Nabi']
328,1197143,18-09-2019,male,Zahur Ahmed Chowdhury Stadium,Bangladesh,Zimbabwe,Zimbabwe,field,Bangladesh,['Mahmudullah']
329,1197144,20-09-2019,male,Zahur Ahmed Chowdhury Stadium,Afghanistan,Zimbabwe,Afghanistan,bat,Zimbabwe,['CB Mpofu']
330,1197145,21-09-2019,male,Zahur Ahmed Chowdhury Stadium,Bangladesh,Afghanistan,Bangladesh,field,Bangladesh,['Shakib Al Hasan']
331,1197246,19-09-2019,female,Yeonhui Cricket Ground,South Korea,Japan,South Korea,field,Japan,['S Miyaji']
332,1197247,19-09-2019,female,Yeonhui Cricket Ground,China,Hong Kong,Hong Kong,bat,Hong Kong,['KY Chan']
333,1197248,20-09-2019,female,Yeonhui Cricket Ground,Hong Kong,Japan,Hong Kong,bat,Japan,['N Tokizawa']
334,1197249,20-09-2019,female,Yeonhui Cricket Ground,South Korea,China,South Korea,field,China,['F Song']
335,1197253,22-09-2019,female,Yeonhui Cricket Ground,China,Hong Kong,Hong Kong,field,China,['Sun Meng Yao']
336,1197396,18-08-2019,male,"White Hill Field, Sandys Parish",Bermuda,United States of America,Bermuda,bat,Bermuda,['DMW Rawlins']
337,1197397,18-08-2019,male,"White Hill Field, Sandys Parish",Canada,Cayman Islands,Canada,bat,Canada,['Ravinderpal Singh']
338,1197398,19-08-2019,male,National Stadium,Bermuda,Canada,Bermuda,bat,no result,['Ravinderpal Singh']
339,1197399,19-08-2019,male,National Stadium,Cayman Islands,United States of America,United States of America,field,United States of America,['Ravinderpal Singh']
340,1197400,21-08-2019,male,"White Hill Field, Sandys Parish",Bermuda,Cayman Islands,Cayman Islands,bat,Bermuda,['Ravinderpal Singh']
341,1197401,21-08-2019,male,"White Hill Field, Sandys Parish",Canada,United States of America,United States of America,bat,Canada,['NS Dhaliwal']
342,1197402,22-08-2019,male,"White Hill Field, Sandys Parish",Canada,Cayman Islands,Canada,field,Canada,['NS Dhaliwal']
343,1197403,22-08-2019,male,Bermuda National Stadium,United States of America,Bermuda,Bermuda,field,Bermuda,['DAP Darrell']
344,1197404,24-08-2019,male,"White Hill Field, Sandys Parish",Cayman Islands,United States of America,Cayman Islands,bat,United States of America,['Steven Ryan Taylor']
345,1197406,25-08-2019,male,"White Hill Field, Sandys Parish",Canada,United States of America,United States of America,field,Canada,['Ravinderpal Singh']
346,1197407,25-08-2019,male,"White Hill Field, Sandys Parish",Bermuda,Cayman Islands,Cayman Islands,bat,Bermuda,['AC Douglas']
347,1197507,19-08-2019,male,United Cricket Club Ground,Namibia,Botswana,Botswana,field,Namibia,['CG Williams']
348,1197508,20-08-2019,male,United Cricket Club Ground,Namibia,Botswana,Botswana,field,Namibia,['JP Kotze']
349,1197509,22-08-2019,male,United Cricket Club Ground,Namibia,Botswana,Namibia,bat,Namibia,['SJ Baard']
350,1197510,23-08-2019,male,United Cricket Club Ground,Namibia,Botswana,Botswana,bat,Namibia,['MG Erasmus']
351,1197521,05-10-2019,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Netherlands,Ireland,field,Ireland,['MG Erasmus']
352,1197522,06-10-2019,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Ireland,Ireland,field,Oman,['MG Erasmus']
353,1197523,06-10-2019,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,Nepal,Nepal,field,Nepal,['MG Erasmus']
354,1197524,07-10-2019,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Netherlands,Nepal,field,Nepal,['MG Erasmus']
355,1197525,07-10-2019,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,Ireland,Ireland,bat,Ireland,['MG Erasmus']
356,1197526,09-10-2019,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Nepal,Ireland,bat,Ireland,['MG Erasmus']
357,1197527,09-10-2019,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Netherlands,Netherlands,bat,Oman,['MG Erasmus']
358,1197528,10-10-2019,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,Netherlands,Hong Kong,field,Netherlands,['MG Erasmus']
359,1197529,10-10-2019,male,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,Oman,field,Oman,['MG Erasmus']
360,1198217,28-08-2019,female,Indian Association Ground,Singapore,Malaysia,Singapore,field,Malaysia,['Ainna Hamizah Hashim']
361,1198218,29-08-2019,female,Indian Association Ground,Singapore,Malaysia,Singapore,bat,Malaysia,['WA Duraisingam']
362,1198219,30-08-2019,female,Indian Association Ground,Singapore,Malaysia,Malaysia,bat,Malaysia,['WA Duraisingam']
363,1198475,14-09-2019,female,"Kensington Oval, Barbados",West Indies,Australia,West Indies,bat,Australia,['MM Lanning']
364,1198476,16-09-2019,female,"Kensington Oval, Barbados",West Indies,Australia,Australia,field,Australia,['AJ Healy']
365,1198477,18-09-2019,female,"Kensington Oval, Barbados",West Indies,Australia,West Indies,bat,Australia,['JL Jonassen']
366,1198478,24-09-2019,female,Lalabhai Contractor Stadium,India,South Africa,South Africa,field,India,['DB Sharma']
367,1198481,01-10-2019,female,Lalabhai Contractor Stadium,India,South Africa,South Africa,field,India,['Poonam Yadav']
368,1198482,04-10-2019,female,Lalabhai Contractor Stadium,India,South Africa,South Africa,bat,South Africa,['L Lee']
369,1198489,05-10-2019,male,Gaddafi Stadium,Pakistan,Sri Lanka,Pakistan,field,Sri Lanka,['MD Gunathilaka']
370,1198490,07-10-2019,male,Gaddafi Stadium,Pakistan,Sri Lanka,Sri Lanka,bat,Sri Lanka,['PBB Rajapaksa']
371,1198491,09-10-2019,male,Gaddafi Stadium,Pakistan,Sri Lanka,Sri Lanka,bat,Sri Lanka,['PWH de Silva']
372,1199499,18-10-2019,male,ICC Academy,Scotland,Singapore,Scotland,field,Singapore,['S Vijayakumar']
373,1199500,18-10-2019,male,Sheikh Zayed Stadium,Hong Kong,Ireland,Hong Kong,bat,Ireland,['PR Stirling']
374,1199501,18-10-2019,male,ICC Academy,Kenya,Netherlands,Netherlands,bat,Netherlands,"[""MP O'Dowd""]"
375,1199502,18-10-2019,male,Sheikh Zayed Stadium,United Arab Emirates,Oman,Oman,field,Oman,['Fayyaz Butt']
376,1199503,19-10-2019,male,ICC Academy,Bermuda,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,['N Vanua']
377,1199504,19-10-2019,male,Sheikh Zayed Stadium,Jersey,Nigeria,Jersey,bat,Jersey,['JW Jenner']
378,1199505,19-10-2019,male,ICC Academy,Namibia,Netherlands,Netherlands,bat,Netherlands,['RN ten Doeschate']
379,1199506,19-10-2019,male,ICC Academy Ground No 2,Kenya,Scotland,Scotland,bat,Scotland,['RD Berrington']
380,1199507,19-10-2019,male,Sheikh Zayed Stadium,United Arab Emirates,Ireland,United Arab Emirates,field,United Arab Emirates,['Rohan Mustafa']
381,1199508,20-10-2019,male,ICC Academy Ground No 2,Namibia,Papua New Guinea,Papua New Guinea,bat,Papua New Guinea,['A Vala']
382,1199509,20-10-2019,male,Tolerance Oval,Canada,Jersey,Jersey,field,Canada,['NR Kumar']
383,1199510,20-10-2019,male,ICC Academy Ground No 2,Bermuda,Singapore,Bermuda,bat,Singapore,['NMS Param']
384,1199511,20-10-2019,male,Sheikh Zayed Stadium,Hong Kong,Oman,Oman,field,Oman,['Aamir Kaleem']
385,1199512,21-10-2019,male,ICC Academy,Papua New Guinea,Scotland,Scotland,bat,Scotland,['Hamza Tahir']
386,1199513,21-10-2019,male,Sheikh Zayed Stadium,United Arab Emirates,Hong Kong,Hong Kong,bat,United Arab Emirates,['Rameez Shahzad']
387,1199514,21-10-2019,male,Tolerance Oval,Ireland,Oman,Oman,field,Ireland,['GJ Delany']
388,1199515,21-10-2019,male,ICC Academy,Bermuda,Kenya,Kenya,bat,Kenya,['DM Gondaria']
389,1199516,21-10-2019,male,Sheikh Zayed Stadium,Canada,Nigeria,Canada,bat,Canada,['NR Kumar']
390,1199517,22-10-2019,male,ICC Academy,Namibia,Scotland,Namibia,bat,Namibia,['JJ Smit']
391,1199518,22-10-2019,male,ICC Academy,Netherlands,Singapore,Singapore,bat,Netherlands,['RE van der Merwe']
392,1199519,22-10-2019,male,Tolerance Oval,United Arab Emirates,Jersey,Jersey,bat,Jersey,['B Ward']
393,1199520,23-10-2019,male,ICC Academy Ground No 2,Bermuda,Namibia,Namibia,field,Namibia,['BM Scholtz']
394,1199521,23-10-2019,male,Tolerance Oval,Nigeria,Oman,Nigeria,bat,Oman,['Aamir Kaleem']
395,1199522,23-10-2019,male,ICC Academy Ground No 2,Kenya,Singapore,Singapore,bat,Kenya,['IA Karim']
396,1199523,23-10-2019,male,Sheikh Zayed Stadium,Canada,Ireland,Canada,bat,Canada,['NR Kumar']
397,1199524,23-10-2019,male,Sheikh Zayed Stadium,Hong Kong,Jersey,Hong Kong,bat,Hong Kong,['SS McKechnie']
398,1199525,24-10-2019,male,ICC Academy,Netherlands,Papua New Guinea,Netherlands,bat,Papua New Guinea,['SS McKechnie']
399,1199526,24-10-2019,male,Tolerance Oval,United Arab Emirates,Nigeria,United Arab Emirates,field,United Arab Emirates,['Zawar Farid']
400,1199527,24-10-2019,male,Tolerance Oval,Canada,Hong Kong,Hong Kong,bat,Hong Kong,['KD Shah']
401,1199528,24-10-2019,male,Dubai International Cricket Stadium,Bermuda,Scotland,Bermuda,field,Scotland,['CS MacLeod']
402,1199529,25-10-2019,male,Dubai International Cricket Stadium,Papua New Guinea,Singapore,Singapore,field,Papua New Guinea,['D Ravu']
