value,name
SN Khan,SN Khan
DJ Muthuswami,DJ Muthuswami
C Munro,C Munro
P Sahu,P Sahu
KJ Abbott,KJ Abbott
M Ashwin,M Ashwin
NS Naik,NS Naik
PSP Handscomb,PSP Handscomb
J Yadav,J Yadav
UT Khawaja,UT Khawaja
F Behardien,F Behardien
BB Sran,BB Sran
S Kaushik,S Kaushik
ER Dwivedi,ER Dwivedi
E Lewis,E Lewis
M Wood,M Wood
R Singh,R Singh
D Short,D Short
K Gowtham,K Gowtham
T Curran,T Curran
M Markande,M Markande
B Stanlake,B Stanlake
M Ur Rahman,M Ur Rahman
A Dananjaya,A Dananjaya
S Gill,S Gill
S Mavi,S Mavi
Mohammed Siraj,Mohammed Siraj
H Klaasen,H Klaasen
R Bhui,R Bhui
J Archer,J Archer
P Shaw,P Shaw
L Plunkett,L Plunkett
Mustafizur Rahman,Mustafizur Rahman
A Hales,A Hales
M Lomror,M Lomror
D Shorey,D Shorey
M Ali,M Ali
P Krishna,P Krishna
P Chopra,P Chopra
J Searles,J Searles
I Sodhi,I Sodhi
S Hetmyer,S Hetmyer
S Dube,S Dube
J Bairstow,J Bairstow
C Ingram,C Ingram
K Paul,K Paul
R Salam,R Salam
N Pooran,N Pooran
N Naik,N Naik
H Vihari,H Vihari
P R Barman,P R Barman
S Curran,S Curran
H Viljoen,H Viljoen
Avesh Khan,Avesh Khan
S Lamichhane,S Lamichhane
S Sharma,S Sharma
H Gurney,H Gurney
SD Lad,SD Lad
A Joseph,A Joseph
R Parag,R Parag
M Santner,M Santner
J Denly,J Denly
L Livingstone,L Livingstone
K Ahmed,K Ahmed
A Turner,A Turner
H Brar,H Brar
S Rutherford,S Rutherford
P Raj,P Raj
S Singh,S Singh
JL Pattinson,JL Pattinson
S CuRajasthan Royalsan,S CuRajasthan Royalsan
Rajasthan Royals Pant,Rajasthan Royals Pant
D Padikkal,D Padikkal
Philippe,Philippe
Priyam Garg,Priyam Garg
Abhishek Sharma,Abhishek Sharma
T Natarajan,T Natarajan
YBK Jaiswal,YBK Jaiswal
SPD SMumbai Indiansth,SPD SMumbai Indiansth
T CuRajasthan Royalsan,T CuRajasthan Royalsan
Shubman Gill,Shubman Gill
PJ CumMumbai Indiansns,PJ CumMumbai Indiansns
Shivam Mavi,Shivam Mavi
RD Gaikwad,RD Gaikwad
Abdul Samad,Abdul Samad
Anrich Nortje,Anrich Nortje
KL Nagarkoti,KL Nagarkoti
Ravi Bishnoi,Ravi Bishnoi
Mohammed ShaMumbai Indians,Mohammed ShaMumbai Indians
I Udana,I Udana
Simran Singh,Simran Singh
Mujeeb Ur Rahman,Mujeeb Ur Rahman
Cottrell,Cottrell
Arshdeep Singh,Arshdeep Singh
Kartik Tyagi,Kartik Tyagi
Prabhsimran Singh,Prabhsimran Singh
Jagadeesan,Jagadeesan
Carey,Carey
T Banton,T Banton
CV Varun,CV Varun
Prasidh Krishna,Prasidh Krishna
CH MoRajasthan Royalsis,CH MoRajasthan Royalsis
L Ferguson,L Ferguson
Deshpande,Deshpande
Praveen Dubey,Praveen Dubey
Shahbaz Ahmed,Shahbaz Ahmed
SP GoswaMumbai Indians,SP GoswaMumbai Indians
Tejas Baroka,Tejas Baroka
SS Agarwal,SS Agarwal
NB Singh,NB Singh
MJ Henry,MJ Henry
P Amarnath,P Amarnath
B Geeves,B Geeves
Gagandeep Singh,Gagandeep Singh
A Nel,A Nel
AM Salvi,AM Salvi
RR Bose,RR Bose
SS Sarkar,SS Sarkar
RA Shaikh,RA Shaikh
C Ganapathy,C Ganapathy
MB Parmar,MB Parmar
AA Kazi,AA Kazi
Anand Rajan,Anand Rajan
P Prasanth,P Prasanth
SS Mundhe,SS Mundhe
RW Price,RW Price
TP Sudhindra,TP Sudhindra
BW Hilfenhaus,BW Hilfenhaus
Harmeet Singh (2),Harmeet Singh (2)
P Suyal,P Suyal
MG Neser,MG Neser
K Santokie,K Santokie
JW Hastings,JW Hastings
GS Sandhu,GS Sandhu
T Shamsi,T Shamsi
SM Boland,SM Boland
K Khejroliya,K Khejroliya
L Ngidi,L Ngidi
KM Asif,KM Asif
D Willey,D Willey
J Dala,J Dala
V Chakravarthy,V Chakravarthy
J Behrendorff,J Behrendorff
S Kuggeleijn,S Kuggeleijn
S Midhun,S Midhun
O Thomas,O Thomas
A Roy,A Roy
S Warrier,S Warrier
Sandeep WaRajasthan Royalsier,Sandeep WaRajasthan Royalsier
Hazlewood,Hazlewood
A Mumbai Indiansshra,A Mumbai Indiansshra
CJ Green,CJ Green
Monu,Monu
KR Patterson,KR Patterson
RJ Gibson,RJ Gibson
JR Doran,JR Doran
DP Hughes,DP Hughes
JJ Peirson,JJ Peirson
AI Ross,AI Ross
JA Burns,JA Burns
J Weatherald,J Weatherald
JS Lehmann,JS Lehmann
MS Harris,MS Harris
TLW Cooper,TLW Cooper
PM Nevill,PM Nevill
CP Tremain,CP Tremain
AJ Nair,AJ Nair
Fawad Ahmed,Fawad Ahmed
DJM Short,DJM Short
DP Michael,DP Michael
CJ Boyce,CJ Boyce
HP Kingston,HP Kingston
JC Silk,JC Silk
SNJ O'Keefe,SNJ O'Keefe
BJ Dwarshuis,BJ Dwarshuis
JM Mennie,JM Mennie
SM Whiteman,SM Whiteman
IR Bell,IR Bell
DJ Willey,DJ Willey
AJ Turner,AJ Turner
AC Agar,AC Agar
LN O'Connor,LN O'Connor
JA Richardson,JA Richardson
RGL Carters,RGL Carters
JS Floros,JS Floros
JD Wildermuth,JD Wildermuth
MT Steketee,MT Steketee
JW Wells,JW Wells
CA Rose,CA Rose
SCJ Broad,SCJ Broad
TD Andrews,TD Andrews
WER Somerville,WER Somerville
TL Lawford,TL Lawford
SB Harper,SB Harper
MA Beer,MA Beer
JS Lenton,JS Lenton
JR Dean,JR Dean
ND Buchanan,ND Buchanan
BJ Webster,BJ Webster
BR McDermott,BR McDermott
JM Vince,JM Vince
MW Short,MW Short
TP Ludeman,TP Ludeman
KR Smith,KR Smith
IS Sodhi,IS Sodhi
WA Agar,WA Agar
EP Gulbis,EP Gulbis
HWR Cartwright,HWR Cartwright
SD Heazlett,SD Heazlett
NJ Reardon,NJ Reardon
MJ Swepson,MJ Swepson
SL Rainbird,SL Rainbird
NM Lyon,NM Lyon
JM Bird,JM Bird
CT Bancroft,CT Bancroft
TT Bresnan,TT Bresnan
SE Gotch,SE Gotch
AT Carey,AT Carey
M Labuschagne,M Labuschagne
DJ Worrall,DJ Worrall
JK Lalor,JK Lalor
AJ Doolan,AJ Doolan
JC Archer,JC Archer
AL Fekete,AL Fekete
DR Sams,DR Sams
WG Bosisto,WG Bosisto
JR Philippe,JR Philippe
Shadab Khan,Shadab Khan
B Doggett,B Doggett
JP Inglis,JP Inglis
TS Rogers,TS Rogers
PM Siddle,PM Siddle
CJ Gannon,CJ Gannon
Yasir Shah,Yasir Shah
TH David,TH David
S Milenko,S Milenko
JS Paris,JS Paris
JM Holland,JM Holland
JL Denly,JL Denly
MT Renshaw,MT Renshaw
M Kelly,M Kelly
M Bryant,M Bryant
JP Behrendorff,JP Behrendorff
Usman Qadir,Usman Qadir
W Sutherland,W Sutherland
JE Root,JE Root
JJS Sangha,JJS Sangha
TJ Dean,TJ Dean
NCR Larkin,NCR Larkin
J Edwards,J Edwards
JD Cook,JD Cook
N McAndrew,N McAndrew
TK Curran,TK Curran
L Pope,L Pope
C Valente,C Valente
GA West,GA West
MW Harvey,MW Harvey
Usman Shinwari,Usman Shinwari
J Avendano,J Avendano
J Merlo,J Merlo
LE Plunkett,LE Plunkett
HJ Nielsen,HJ Nielsen
L Bowe,L Bowe
AP Devcich,AP Devcich
HF Gurney,HF Gurney
TL O'Connell,TL O'Connell
BAD Manenti,BAD Manenti
AM Hardie,AM Hardie
CP Jewell,CP Jewell
JA Prestwidge,JA Prestwidge
NR Hobson,NR Hobson
M Gilkes,M Gilkes
BJ Holt,BJ Holt
CD Hinchliffe,CD Hinchliffe
SP Terry,SP Terry
AD Hales,AD Hales
Zahir Khan,Zahir Khan
LS Livingstone,LS Livingstone
C Green,C Green
NT Ellis,NT Ellis
Qais Ahmad,Qais Ahmad
H Kerr,H Kerr
PD Salt,PD Salt
M Wright,M Wright
RP Meredith,RP Meredith
RJ Gleeson,RJ Gleeson
SR Patel,SR Patel
HNA Conway,HNA Conway
JR Hazlewood,JR Hazlewood
J Morgan,J Morgan
NA McSweeney,NA McSweeney
Dilbar Hussain,Dilbar Hussain
Haris Rauf,Haris Rauf
AW Robinson,AW Robinson
PJ Forrest,PJ Forrest
CD Hartley,CD Hartley
DLR Smith,DLR Smith
CA Philipson,CA Philipson
AJ Crosthwaite,AJ Crosthwaite
CJ Borgas,CJ Borgas
MJ Buchanan,MJ Buchanan
Abdul Razzaq,Abdul Razzaq
AK Heal,AK Heal
GA Manou,GA Manou
PA Jaques,PA Jaques
TIF Triffitt,TIF Triffitt
RJG Lockyear,RJG Lockyear
JJ Krejza,JJ Krejza
Naved-ul-Hasan,Naved-ul-Hasan
XJ Doherty,XJ Doherty
MJ North,MJ North
SCG MacGill,SCG MacGill
AW O'Brien,AW O'Brien
CP Simpson,CP Simpson
